Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_14_2,Orange,C_14_2_Orange,14,control,Post2,15/03/2024,7.1,3.7,,8,121.392,17.017,1.5015,7,19.8531,10,16.016
C_14_2,Orange,C_14_2_Orange,14,control,Post3,18/03/2024,7.1,3.7,,8,198.4097,15.015,1.33466,10,19.3526,12,13.8471
C_14_2,Orange,C_14_2_Orange,14,control,Post4,21/03/2024,7.2,3.9,,6,878.006,73.0729,7.50748,14,85.2517,21,27.1938
C_14_2,Pink,C_14_2_Pink,14,control,Pre1,15/02/2024,6.6,2.9,,Never Leaves,0,0,0,0,0,0,0
C_14_2,Pink,C_14_2_Pink,14,control,Pre2,18/02/2024,6.6,2.9,,10,1118.76,128.795,19.6863,12,152.152,20,40.3736
C_14_2,Pink,C_14_2_Pink,14,control,Pre3,21/02/2024,6.6,2.9,,10,355.421,53.2197,155.155,12,210.543,16,146.479
C_14_2,Pink,C_14_2_Pink,14,control,Pre4,24/02/2024,6.6,2.9,,83,833.305,107.107,22.5225,12,133.3,21,38.3716
C_14_2,Pink,C_14_2_Pink,14,control,Post1,12/03/2024,6.6,2.9,,10,1798.78,177.51,12.3456,26,196.362,41,55.8891
C_14_2,Pink,C_14_2_Pink,14,control,Post2,15/03/2024,6.6,2.9,,Never Leaves,0,0,0,0,0,0,0
C_14_2,Pink,C_14_2_Pink,14,control,Post3,18/03/2024,6.6,2.9,,Never Leaves,0,0,0,0,0,0,0
C_14_2,Pink,C_14_2_Pink,14,control,Post4,21/03/2024,6.6,2.9,DIED,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_2,Yellow,C_14_2_Yellow,14,control,Pre1,15/02/2024,6.5,2.9,,7,3039.33,359.859,37.037,25,401.568,45,66.2328
C_14_2,Yellow,C_14_2_Yellow,14,control,Pre2,18/02/2024,6.5,2.9,,11,3402.3,404.404,45.8791,31,456.956,59,80.2468
C_14_2,Yellow,C_14_2_Yellow,14,control,Pre3,21/02/2024,6.5,2.9,,11,2390.36,334.667,22.022,32,363.696,56,86.9201
C_14_2,Yellow,C_14_2_Yellow,14,control,Pre4,24/02/2024,6.5,2.9,,84,2775.74,375.375,45.045,30,427.427,55,105.939
C_14_2,Yellow,C_14_2_Yellow,14,control,Post1,12/03/2024,6.5,2.9,,11,2180.96,163.83,72.7393,38,246.413,55,113.613
C_14_2,Yellow,C_14_2_Yellow,14,control,Post2,15/03/2024,6.5,2.9,,9,1708.05,201.868,17.017,28,225.058,45,50.3836
C_14_2,Yellow,C_14_2_Yellow,14,control,Post3,18/03/2024,6.5,2.9,,9,1598.4,189.356,13.1798,30,208.542,50,57.3906
C_14_2,Yellow,C_14_2_Yellow,14,control,Post4,21/03/2024,6.5,2.9,,7,2440.26,240.907,22.5225,26,268.101,51,55.3886
C_14_3,Blue,C_14_3_Blue,14,control,Pre1,15/02/2024,10.2,10.9,,Never Leaves,0,0,0,0,0,0,0
C_14_3,Blue,C_14_3_Blue,14,control,Pre2,18/02/2024,10.2,10.9,,16,1557.04,158.492,32.8661,27,197.364,43,85.5854
C_14_3,Blue,C_14_3_Blue,14,control,Pre3,21/02/2024,10.2,10.9,,15,4355.9,385.718,21.8551,54,421.587,97,148.815
C_14_3,Blue,C_14_3_Blue,14,control,Pre4,24/02/2024,10.2,10.9,,88,3417.88,347.347,34.7013,48,395.061,88,142.809
C_14_3,Blue,C_14_3_Blue,14,control,Post1,12/03/2024,10.2,10.9,,15,2437.43,231.398,107.274,39,347.013,65,193.36
C_14_3,Blue,C_14_3_Blue,14,control,Post2,15/03/2024,10.2,10.9,,13,3028.02,297.13,77.0769,47,384.384,82,195.695
C_14_3,Blue,C_14_3_Blue,14,control,Post3,18/03/2024,10.2,10.9,,14,1181.63,205.705,63.3966,46,179.612,68,156.656
C_14_3,Blue,C_14_3_Blue,14,control,Post4,21/03/2024,10.2,10.9,,11,3872.04,327.66,66.7333,43,406.239,78,180.013
C_14_3,Orange,C_14_3_Orange,14,control,Pre1,15/02/2024,9.7,10.2,,10,2895.86,282.281,38.7053,22,325.992,42,66.9
C_14_3,Orange,C_14_3_Orange,14,control,Pre2,18/02/2024,9.7,10.2,,17,3372.72,357.857,146.813,16,507.506,43,139.973
C_14_3,Orange,C_14_3_Orange,14,control,Pre3,21/02/2024,9.7,10.2,,16,2791.58,318.484,166.666,27,492.157,57,199.199
C_14_3,Orange,C_14_3_Orange,14,control,Pre4,24/02/2024,9.7,10.2,,89,2420.34,306.806,160.16,26,471.971,46,236.402
C_14_3,Orange,C_14_3_Orange,14,control,Post1,12/03/2024,9.7,10.2,,16,2870.24,363.195,167.167,23,535.534,52,167.167
C_14_3,Orange,C_14_3_Orange,14,control,Post2,15/03/2024,9.7,10.2,,14,3480.58,434.767,159.159,4,594.593,24,69.0689
C_14_3,Orange,C_14_3_Orange,14,control,Post3,18/03/2024,9.7,10.2,,15,1198.065,8.50848,591.59,1,600.265,0,0
C_14_3,Orange,C_14_3_Orange,14,control,Post4,21/03/2024,9.7,10.2,,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_3,Pink,C_14_3_Pink,14,control,Pre1,15/02/2024,9.6,8.4,,11,1441.3,185.352,249.249,23,440.606,39,330.163
C_14_3,Pink,C_14_3_Pink,14,control,Pre2,18/02/2024,9.6,8.4,,18,3285.33,361.861,68.9021,43,441.441,75,149.149
C_14_3,Pink,C_14_3_Pink,14,control,Pre3,21/02/2024,9.6,8.4,,17,5702.19,432.431,4.17082,52,446.278,103,95.2616
C_14_3,Pink,C_14_3_Pink,14,control,Pre4,24/02/2024,9.6,8.4,,Never Leaves,0,0,0,0,0,0,0
C_14_3,Pink,C_14_3_Pink,14,control,Post1,12/03/2024,9.6,8.4,,17,4626.06,418.25,8.50848,53,438.771,98,117.951
C_14_3,Pink,C_14_3_Pink,14,control,Post2,15/03/2024,9.6,8.4,,15,2499.74,239.739,5.17182,39,252.251,63,81.4145
C_14_3,Pink,C_14_3_Pink,14,control,Post3,18/03/2024,9.6,8.4,,16,1155.789,28.5284,105.105,6,136.303,7,95.4285
C_14_3,Pink,C_14_3_Pink,14,control,Post4,21/03/2024,9.6,8.4,DIED,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_3,Yellow,C_14_3_Yellow,14,control,Pre1,15/02/2024,10,11.2,,12,3602.47,305.805,40.2068,13,348.515,33,59.8931
C_14_3,Yellow,C_14_3_Yellow,14,control,Pre2,18/02/2024,10,11.2,,19,1557.19,186.853,344.844,17,536.034,36,230.396
C_14_3,Yellow,C_14_3_Yellow,14,control,Pre3,21/02/2024,10,11.2,,18,2535.24,307.807,238.905,16,549.715,34,164.164
C_14_3,Yellow,C_14_3_Yellow,14,control,Pre4,24/02/2024,10,11.2,,90,2871.08,358.358,194.361,19,556.222,54,138.138
